music,age,link,tag_1,tag_2
모아나OST - 나 언젠간 떠날 거야 (오르골ver),20,https://youtu.be/ATkTEviGPCA,잔잔한,힐링 
코코 OST - Remember Me (오르골ver),20,https://youtu.be/zzoKFgeEd6I,힐링 ,잔잔한
인어공주 OST - Under the Sea (오르골ver),20,https://youtu.be/ogkQWKUwZok,힐링,통통튀는
알라딘 OST - A Whole New World (오르골ver),20,https://youtu.be/h3B3W9utPFM,마음의안정,선율
히사이시조 - 원령공주OST (오르골ver),20,https://youtu.be/efp8z3xGjYA,진정,힐링 
생명에게 미움받고 있어 (오르골ver),20,https://youtu.be/D2NaJE0mDCs,힐링 ,마음의안정
이누야샤 OST - 시대를 초월한 마음 (오르골ver),20,https://youtu.be/6DKSv0_Dkbg,힐링 ,마음의안정
오마이걸 - 비밀정원 (오르골ver),20,https://youtu.be/Fvl7Jgy2C_A,선율,마음의안정
마루 밑 아리에티 OST - Arrietty's Song (오르골ver),20,https://youtu.be/MF70fw6xaw0,힐링 ,선율
마녀배달부 키키 OST - 바다가 보이는 마을 (오르골ver),20,https://youtu.be/mfEXRNMzXnk,선율,힐링 
천공의 성 라퓨타 OST - 너를 태우고 (오르골ver),20,https://youtu.be/h8uwqyizOkw,힐링 ,잔잔한
센과 치히로의 행방불명 OST - 어느 여름날 (오르골ver),20,https://youtu.be/GdOX9TzVKdA,선율,힐링 
코쿠리코 언덕에서 OST - 이별의 여름 (오르골ver),20,https://youtu.be/ytTG-qvoG6w,잔잔한,힐링 
이웃집 토토로 OST - 바람이 지나가는 길 (오르골ver),20,https://youtu.be/BVzPGB7xkPk,힐링 ,선율
센과 치히로의 행방불명 OST - 언제나 몇 번이라도 (오르골ver),20,https://youtu.be/zlTAYMpIjc8,힐링 ,잔잔한
하울의 움직이는 성 OST - 인생의 회전목마 (오르골ver),20,https://youtu.be/IvNwuTc1N8M,잔잔한,마음의안정
달빛천사 OST - Myself (오르골 ver),20,https://youtu.be/AiFvGcD9MgM,선율,잔잔한
이누야샤 OST - 달묘전설 (오르골ver),20,https://youtu.be/vLsegYyixeU,힐링 ,진정
타이타닉 OST - My Heart Will Go On (오르골ver),20,https://youtu.be/Avr28D-qkaw,힐링 ,진정
천사소녀 네티 OST - Main Theme (오르골ver),20,https://youtu.be/keINguBvVVg,힐링 ,마음의안정
기쿠지로의 여름 OST - Summer (오르골ver),20,https://youtu.be/MQwzQKwsEiU,통통튀는,힐링 
시간을 달리는 소녀 OST - Garnet (오르골ver),20,https://youtu.be/36NEVXXw-w8,힐링 ,마음의안정
은혼 OST - Some Like It Hot (오르골ver),20,https://youtu.be/9c-giZMmXtA,잔잔한,선율
Henry Clay Work - 할아버지의 낡은 시계 (오르골ver),20,https://youtu.be/Lqhf-2H3JLU,힐링 ,마음의안정
러브 페이지 - 오늘 하루는 어땠나요,30,https://youtu.be/Vj2G8Y5KRm0,힐링 ,진정
로맨틱브리즈 - 별의 바다,30,https://youtu.be/nKZnuDtjfo8,마음의안정 ,힐링
316 - 당신이 따뜻해서 봄이 왔습니다,30,https://youtu.be/0NTfVRGlN0s,힐링,마음의안정
"옥상달빛 - 수고했어, 오늘도 (오르골ver)",30,https://youtu.be/kOJ5JXt28Ws,마음의안정,잔잔한
하츠네 미쿠 - Near (오르골ver),30,https://youtu.be/ha7rXgEvjd0,힐링 ,선율
GUMI - 천성의 약함 (오르골ver),30,https://youtu.be/tase80V1mOo,선율,힐링 
하츠네 미쿠 - 벚꽃의 비 (오르골ver),30,https://youtu.be/R-Qdli-CTSs,힐링 ,선율
금요일의 아침인사 (오르골ver),30,https://youtu.be/OqMmfPhC_6k,멜로디,마음의안정
아이유 - 밤편지 (오르골ver),30,https://youtu.be/CxDCJJmj7rk,멜로디,힐링 
아이유 - Rain Drop (오르골ver),30,https://youtu.be/IOAVtxFWgYY,마음의안정,힐링 
여자친구 - 밤 (오르골ver),30,https://youtu.be/1Pr7aLaFazU,마음의안정,멜로디
아이오아이 (I.O.I) - 소나기 (오르골ver),30,https://youtu.be/cSjhU8VUrbg,힐링,마음의안정
하나땅 - 꽃의 노래 (오르골ver),30,https://youtu.be/M-Kw319tzcY,힐링,멜로디
멜로망스 - 선물 (오르골ver),30,https://youtu.be/rcVUO9rQbZ4,멜로디,힐링 
GUMI - 마음짓기 (오르골ver),30,https://youtu.be/Ye9UeI0b22w,잔잔한,멜로디
오마이걸 - CLOSER (오르골ver),30,https://youtu.be/ljlcZ3YZeHQ,힐링 ,멜로디 
김광민 - 학교 가는 길 (오르골ver),30,https://youtu.be/SlBWh8s1HwU,마음의안정,힐링 
Fool's Garden - Lemon Tree (오르골ver),30,https://youtu.be/LjtzwLhi030,통통튀는,힐링
예민 - 어느 산골 소년의 사랑 이야기 (오르골ver),30,https://youtu.be/_s-PKgkIeKw,마음의안정,힐링 
악의 하인 (오르골ver),30,https://youtu.be/AbhkwCd_YMQ,선율,잔잔한
박효신 - 눈의 꽃 (오르골ver),30,https://youtu.be/R2BSBOvUQWk,마음의안정,멜로디
요네즈 켄시 - Lemon (오르골ver),30,https://youtu.be/LdYB-YoAOjc,진정,멜로디
Blessing (오르골ver),30,https://youtu.be/CWSTlwRbmus,힐링 ,선율
Hatsune Miku - 꿈과 벚나무 (오르골ver),30,https://youtu.be/2TI56-VM_Ls,잔잔한,멜로디
N.Flying - 옥탑방 (오르골ver),30,https://youtu.be/pRmAQOOdHlI,진정,잔잔한
Chopin - Nocturne op.9 No.2,40,https://youtu.be/9E6b3swbnWg,클래식,선율
Chopin - Nocturne op.9 No.1,40,https://youtu.be/Nb3vj9zTHX0,클래식,평화로운
Schubert - Serenade,40,https://youtu.be/biUv4VLW0fc,클래식,감미로운
Debussy - Arabesque No.1 and No.2,40,https://youtu.be/9Fle2CP8gR0,클래식,선율
Chopin - Nocturne in C minor B 108,40,https://youtu.be/h80JKPqdNtw,클래식,감미로운
Brahms - 4 Ballades Op.10 No. 1 - Andante,40,https://youtu.be/dyYhc79ZtGA,클래식,선율
Chopin - Fantasy Op. 49,40,https://youtu.be/LZuRs0BxR74,클래식,감미로운
Mozart - Fantasia in D minor K 397,40,https://youtu.be/BKZJmxXhFf4,클래식,평화로운
Johann Strauss Jr - Wiener Blut Op. 354 - Waltz,40,https://youtu.be/Uxd-UOCV4DM,클래식,선율
Fauré - Fantaisie Op. 79,40,https://youtu.be/Lrta7UWapfA,클래식,감미로운
Chopin - Berceuse in D flat major Op. 57,40,https://youtu.be/DLrsTjn7VqY,클래식,평화로운
Chopin - Waltz in F major Op. 34 No. 3,40,https://youtu.be/xj8ybhqZvo0,클래식,왈츠
"Bach - Jesus, Joy of Man's Desiring",40,https://youtu.be/uAuurVit0Ac,클래식,선율
Handel - Recorder Sonata in F HWV 369,40,https://youtu.be/WdLYZVaOqhk,클래식,감미로운
