music,age,link,tag_1,tag_2
Daler Mehndi - Tunak Tunak Tun,20,https://youtu.be/vTIIMJ9tUc8,뚜룹뚜룹뚜,코믹송
노라조 - 카레,20,https://youtu.be/ao58vQDMVlQ,코믹노래,신나는
노라조 - 니 팔자야,20,https://youtu.be/ezwgRTy8R8U,코믹노래,노라조
리미와 감자 - 치킨,20,https://youtu.be/lT8PE17B5eE,코믹송,치킨
리미와 감자 -  홍콩반점,20,https://youtu.be/uHj51x8ksjo,짜장송,코믹가사
뚱스 - 고칼로리,20,https://youtu.be/3zoJloWG5dg,웃긴노래,다이어트
비컴퍼니 - 내게 강같은 평화,20,https://youtu.be/IH5hj9PzA3U,마음의안정,컴다운
DOZ - 내 마음속의 자메이카,20,https://youtu.be/JAxp6RpWInE,레게,코믹송
이글파이브 - 오징어 외계인,20,https://youtu.be/cLdsFLRIIzY,외계인송,웃긴가사
유재석 - 메뚜기월드,20,https://youtu.be/QFIVLlXnddo,메뚜기송,코믹송
노라조 - 사이다,20,https://youtu.be/O6BJiije6m4,웃긴노래,노라조
UV - 이태원 프리덤 (with 박진영),20,https://youtu.be/3N8c1t1QTDI,코믹듀오,웃긴노래
형돈이와 대준이 - 올림픽대로,20,https://youtu.be/ols76e4FZwI,차막힌다,코믹송
형돈이와 대준이 -  안좋을때 들으면 더 안좋은 노래,20,https://youtu.be/KJSXolyj4DM,아니아니아니,코믹가사
형돈이와 대준이 - Rap Impossible,20,https://youtu.be/G_0A9iO7D7o,왕밤빵,코믹가사
J.E.B - 전국 Handclap 자랑 ,20,https://youtu.be/Y0xMbCp8t4s,전국,핸드클립
마미손 - 소년점프(feat.배기성),20,https://youtu.be/D3ZFtSoWtRc,계획대로,되고있어
뚱스 - 쩔어,20,https://youtu.be/rK_oDNzxYTk,웃긴가사,쩌러
장기하와아이들 - ㅋ,20,https://youtu.be/fih0WB86zCk,ㅋㅋ,코믹가사
Hampton and Hampsters - The Hampster Dance,20,https://youtu.be/H9K8-3PHZOU,띠디디,코믹송
똥이 밀려와 - 크라잉넛,20,https://youtu.be/C61ps3olUJk,코믹송,밀려와
이박사 - 몽키매직,20,https://youtu.be/3s1jaFDrp5M,코믹송,코믹가사
Daler Mehndi - Tunak Tunak Tun,30,https://youtu.be/vTIIMJ9tUc8,뚜룹뚜룹뚜,코믹송
노라조 - 카레,30,https://youtu.be/ao58vQDMVlQ,코믹노래,신나는
노라조 - 니 팔자야,30,https://youtu.be/ezwgRTy8R8U,코믹노래,노라조
리미와 감자 - 치킨,30,https://youtu.be/lT8PE17B5eE,코믹송,치킨
리미와 감자 -  홍콩반점,30,https://youtu.be/uHj51x8ksjo,짜장송,코믹가사
뚱스 - 고칼로리,30,https://youtu.be/3zoJloWG5dg,웃긴노래,다이어트
비컴퍼니 - 내게 강같은 평화,30,https://youtu.be/IH5hj9PzA3U,마음의안정,컴다운
DOZ - 내 마음속의 자메이카,30,https://youtu.be/JAxp6RpWInE,레게,코믹송
이글파이브 - 오징어 외계인,30,https://youtu.be/cLdsFLRIIzY,외계인송,웃긴가사
유재석 - 메뚜기월드,30,https://youtu.be/QFIVLlXnddo,메뚜기송,코믹송
노라조 - 사이다,30,https://youtu.be/O6BJiije6m4,웃긴노래,노라조
UV - 이태원 프리덤 (with 박진영),30,https://youtu.be/3N8c1t1QTDI,코믹듀오,웃긴노래
형돈이와 대준이 - 올림픽대로,30,https://youtu.be/ols76e4FZwI,차막힌다,코믹송
형돈이와 대준이 -  안좋을때 들으면 더 안좋은 노래,30,https://youtu.be/KJSXolyj4DM,아니아니아니,코믹가사
형돈이와 대준이 - Rap Impossible,30,https://youtu.be/G_0A9iO7D7o,왕밤빵,코믹가사
J.E.B - 전국 Handclap 자랑 ,30,https://youtu.be/Y0xMbCp8t4s,전국,핸드클립
마미손 - 소년점프(feat.배기성),30,https://youtu.be/D3ZFtSoWtRc,계획대로,되고있어
뚱스 - 쩔어,30,https://youtu.be/rK_oDNzxYTk,웃긴가사,쩌러
장기하와아이들 - ㅋ,30,https://youtu.be/fih0WB86zCk,ㅋㅋ,코믹가사
Hampton and Hampsters - The Hampster Dance,30,https://youtu.be/H9K8-3PHZOU,띠디디,코믹송
똥이 밀려와 - 크라잉넛,30,https://youtu.be/C61ps3olUJk,코믹송,밀려와
이박사 - 몽키매직,30,https://youtu.be/3s1jaFDrp5M,코믹송,코믹가사
노라조 - 카레,40,https://youtu.be/ao58vQDMVlQ,코믹노래,신나는
노라조 - 니 팔자야,40,https://youtu.be/ezwgRTy8R8U,코믹노래,노라조
비컴퍼니 - 내게 강같은 평화,40,https://youtu.be/IH5hj9PzA3U,마음의안정,컴다운
이박사 - 몽키매직,40,https://youtu.be/3s1jaFDrp5M,코믹송,코믹가사
