music,age_h,link_h,tag_h1,tag_h2
ITZY(있지) - 달라달라,20,https://youtu.be/pNfTK39k55U,댄스곡,밝은노래
TWICE(트와이스) - YES or YES,20,https://youtu.be/mAKsZ26SabQ,밝은노래,신나는
TWICE(트와이스) - Dance The Night Away,20,https://youtu.be/Fm5iP0S1z9w,청량한,댄스곡
TWICE(트와이스) - LIKEY ,20,https://youtu.be/V2hlQkVJZhE,아이돌,댄스곡
MOMOLAND(모모랜드) - I'm So Hot,20,https://youtu.be/tsN-MkpiZB0,댄스댄스,흥폭팔
N.Flying(엔플라잉) - Rooftop(옥탑방),20,https://youtu.be/VpaUh_BGqE0,청량한,밝은노래
BTS (방탄소년단) - IDOL,20,https://youtu.be/pBuZEGYXA6E,댄스곡,아이돌
MOMOLAND(모모랜드) - 뿜뿜,20,https://youtu.be/JQGRg8XBnB4,댄스댄스,비트뿜뿜
IZ*ONE (아이즈원) - 라비앙로즈,20,https://youtu.be/WZwr2a_lFWY,아이돌,댄스곡
레드벨벳 - 빨간 맛,20,https://youtu.be/WyiIGEHQP8o,내적댄스,신나는
BLACKPINK - 뚜두뚜두,20,https://youtu.be/IHNzOHi8sJs,댄스곡,아이돌
AOA - 심쿵해,20,https://youtu.be/1pBgMBBsv4k,밝은,댄스곡 
AOA - Bingle Bangle(빙글뱅글),20,https://youtu.be/ntWSnDV0MYs,댄스곡,밝은노래
붕붕 (고등래퍼2) - 김하온,20,https://youtu.be/cDq1vUwM21k,랩,밝은비트
"Like It (고등래퍼2) - 배연서, 윤진영",20,https://youtu.be/loJZCAqPHj8,신나는,랩
"눈(고등래퍼3) - 강현준, 김호진",20,https://youtu.be/-ZZ90fD86ok,밝은,랩
"컨닝페이퍼(고등래퍼3) - 강민수, 서민규",20,https://youtu.be/9qgFCiN77Gs,신나는,흥겨운
"고래를 위하여(고등래퍼3) - 강민수, 이진우",20,https://youtu.be/B2I9SeUEzUE,신나는,랩
MOMOLAND(모모랜드) - BAAM,20,https://youtu.be/txWmd7QKFe8,빠른비트,댄스댄스
"북 (고등래퍼2) - 배연서, 오담률",20,https://youtu.be/T4XkrOz4tnY,랩,신나는
Anne-Marie - 2002,20,https://youtu.be/Il-an3K9pjg,청량한,팝송
블락비 (Block B) - HER,20,https://youtu.be/o0WCva5Stk4,댄스댄스,신나는
블락비 (Block B) - JACKPOT(잭팟),20,https://youtu.be/h4zvN1Pjzn8,흥겨운,댄스곡
지코(ZICO) - Boys and Girls (Feat. Babylon),20,https://youtu.be/avoCSYEWhR0,신나는,멜로디
지코(ZICO) - 말해 yes or no ,20,https://youtu.be/N3ORTeBPfZ0,랩,댄스댄스
블락비(Block B) - Very Good,20,https://youtu.be/kJGcO5Une-g,신나는,멜로디
틴탑 - 미치겠어,20,https://youtu.be/EKtxtDG2NkY,내적댄스,빠른비트
카라 - STEP,20,https://youtu.be/zYoYoBtLqOY,댄스댄스,빠른비트
걸스데이 - Ring My Bell(링마벨),20,https://youtu.be/z4sN05-xIs4,신나는,댄스곡
파이브돌스 - 이러쿵저러쿵,20,https://youtu.be/YN04xEbHdsQ,중독성,비트
MOMOLAND(모모랜드) - I'm So Hot,20,https://youtu.be/tsN-MkpiZB0,중독성,빠른비트
SS501 - UR MAN,30,https://youtu.be/ZRebVq_TseY,중독성,신나는
라붐 - 상상더하기,20,https://youtu.be/m0o7fbNKhpM,청량한,상큼발랄
레드벨벳 - Power Up,20,https://youtu.be/aiHSVQy9xN8,댄스곡,밝은노래
레드벨벳 - 행복(happiness),20,https://youtu.be/JFgv8bKfxEs,신나는,상큼한
레드벨벳 - Ice Cream Cake,20,https://youtu.be/glXgSSOKlls,상큼발랄,밝은노래
레드벨벳 - 러시안 룰렛,20,https://youtu.be/QslJYDX3o8s,발랄한,신나는
레드벨벳 - Dumb Dumb,20,https://youtu.be/XGdbaEDVWp0,상큼발랄,댄스곡
TWICE(트와이스) - OOH-AHH하게,20,https://youtu.be/0rtV5esQT6I,상큼,발랄
TWICE(트와이스) - CHEER UP,20,https://youtu.be/c7rCyll5AeY,밝은,상큼발랄
Wanna One (워너원) - 에너제틱,20,https://youtu.be/EVaV7AwqBWg,아이돌,댄스곡
PRODUCE 101 (프로듀스101 시즌2) - 나야나,20,https://youtu.be/NIld_iEc67s,흥폭팔,댄스곡
PRODUCE 101 (프로듀스 101) - PICK ME,20,https://youtu.be/BiorIyrjTHc,댄스댄스,신나는
PSY - DADDY (feat. CL),20,https://youtu.be/FrG4TEcSuRg,댄스곡,흥폭팔
PSY - GENTLEMAN,20,https://youtu.be/ASO_zypdnsQ,신나는 ,댄스곡
PSY - New Face,20,https://youtu.be/OwJPPaEyqhI,댄스곡,들썩들썩
PSY - I LUV IT,20,https://youtu.be/Xvjnoagk6GU,댄스곡,들썩들썩
PSY - 나팔바지(NAPAL BAJI),20,https://youtu.be/tF27TNC_4pc,댄스곡,내적댄스
PSY - HANGOVER (feat. Snoop Dogg,20,https://youtu.be/HkMNOlYcpHg,흥겨운,비트
PSY - RIGHT NOW,20,https://youtu.be/UmHdefsaL6I,댄스,신나는
임창정-문을 여시오,30,https://youtu.be/FLPLgJqeZJw,댄스댄스,신나는
박진영 - 어머님이 누구니,20,https://youtu.be/kUGQ7Tz4os0,댄스곡,흥폭팔
T-ARA(티아라) - Roly Poly,20,https://youtu.be/afwK0Mv0IsY,중독성,비트
방탄소년단 - 불타오르네,20,https://youtu.be/ALj5MKjy2BU,내적댄스,아이돌
인피니트 - 내꺼하자,20,https://youtu.be/ESpZx1XhBPk,댄스곡,흥겨운
WINNER - REALLY REALLY,20,https://youtu.be/4tBnF46ybZk,청량한,밝은노래
EXID - 아예(Ah Yeah),20,https://youtu.be/egqDPipqIAg,신나는,비트
볼빨간 사춘기 - 여행,20,https://youtu.be/xRbPAVnqtcs,청량한,떠나고싶은
iKON - BLING BLING,20,https://youtu.be/GUFw8wTzF_I,댄스댄스,신나는
iKON - 덤앤더머(DUMB&DUMBER),20,https://youtu.be/GUFw8wTzF_I,흥폭팔,빠른비트
iKON - 리듬 타(RHYTHM TA),30,https://youtu.be/tYI5CriE6XU,댄스곡,흥폭팔
박진영 - 살아있네,20,https://youtu.be/pJc2ypdWvEI,신나는,밝은노래
구구단 오구오구 - ICE CHU,20,https://youtu.be/ZN6aso7870c,통통튀는,댄스댄스
현아 - 어때?,20,https://youtu.be/y882AFjrSOM,댄스,빠른비트
우주소녀 - HAPPY,20,https://youtu.be/sZVB_zCBlCU,밝은노래,신나는
청하 - Roller Coaster,20,https://youtu.be/900X9fDFLc4,청량한,신나는
마마무 - 넌 is 뭔들,20,https://youtu.be/QbhmTM1cRro,댄스곡,밝은노래
소녀시대 - PARTY,20,https://youtu.be/HQzu7NYlZNQ,청량한,댄스곡
샤이니 - Dream Girl,20,https://youtu.be/vhxjEXDAy6s,신나는,빠른 비트
여자친구 - 여름여름해,20,https://youtu.be/9iPLjmz3_U4,청량한,댄스곡
Throttle - Hit The Road Jack,20,https://youtu.be/a_cHddNaKQo,흥폭팔,댄스댄스
Jason Derulo - Get Ugly,20,https://youtu.be/S2lgnitdPdc,빠른비트,내적댄스
Galantis - Salvage (Up All Night),20,https://youtu.be/nIs5oI8MijM,EDM,신나는
Dawin - Dessert,20,https://youtu.be/NZp_axebSfQ,뚜왑뚜와리,흥폭팔
Jason Derulo - Swalla,20,https://youtu.be/ycQqiLpEbZI,댄스,빠른 비트
Robin Thicke - Blurred Lines,20,https://youtu.be/UJHEK0GIdYE,들썩들썩,헤이헤이
Mark Ronson - Uptown Funk (feat.Bruno Mars),20,https://youtu.be/hJ5JU2DtLlA,댄스댄스,신나는
Bruno Mars - 24K Magic,20,https://youtu.be/UqyT8IEBkvY,빠른비트,내적댄스
"Zedd, Alessia Cara - Stay",20,https://youtu.be/yWEK4v9AVKQ,신나는,흥폭팔
BoA  -아틀란티스 소녀,30,https://youtu.be/skbnuIhVQUA,청량한,밝은노래
룰라 - 날개 잃은 천사 ,30,https://youtu.be/mjk-kX2plc4,신나는,댄스곡
투투 - 일과 이분의 일,30,https://youtu.be/NokWzy3USWo,밝은,멜로디 
자자 - 버스안에서,30,https://youtu.be/R3DbYFoqGr8,신나는,밝은
DJ DOC - 여름이야기,30,https://youtu.be/G5klng66cjE,신나는,청량한
H.O.T - Candy,30,https://youtu.be/ly7qcY46ofw,아이돌,댄스곡
핑클 - 영원한 사랑,30,https://youtu.be/SyTtCQnESZo,상큼발랄,댄스곡
김성재 - 말하자면,30,https://youtu.be/Q1_BRuLhzN4,신나는,멜로디
현진영 - 흐린 기억속의 그대,30,https://youtu.be/-kwkkLyzwp8,흥나는,비트
서태지와아이들 - 환상속에 그대,30,https://youtu.be/Cr-n5dbMSBM,댄스댄스,흥폭팔
듀스 - 여름안에서,30,https://youtu.be/ZpQxOHdPD2E,청량한,멜로디
서태지와 아이들 - 난 알아요,30,https://youtu.be/32KE_WdNDAA,댄스곡,비트
클론 - 쿵따리 샤바라,30,https://youtu.be/1Dx0lIdl80I,흥겨운,들썩들썩
젝스키스 - Com' Back,30,https://youtu.be/-Scbm-Y5YdQ,빠른비트,신나는
박미경 - 이브의 경고,30,https://youtu.be/cSR-LBBuXQc,신나는,멜로디
코요테 - 만남,30,https://youtu.be/Mje7wkRby9U,발랄한,댄스곡
디바 - 왜불러,30,https://youtu.be/PSM_VxctljQ,밝은,댄스곡
S.E.S - I'm your girl,30,https://youtu.be/WpmTLDtr4qY,상큼발랄,아이돌
쿨 - 애상,30,https://youtu.be/0g-_cDxZzMg,귀여운,신나는
터보 - 스키장에서 ,30,https://youtu.be/aT6rpIvrV5g,밝은,멜로디
쿨 - 슬퍼지려 하기전에,30,https://youtu.be/2__Unj3xFHM,댄스댄스,신나는
소찬휘 - Tears,30,https://youtu.be/toHeLIphvTU,시원한,고음
지누션 - A-Yo,30,https://youtu.be/wBNqWzuPVCk,힙합,비트
지누션 - 전화번호,30,https://youtu.be/Ve0Ygq0O2Ts,힙합,흥겨운
지누션 - 말해줘(feat.엄정화),30,https://youtu.be/w24jzmf82NU,멜로디,힙합 
S.E.S - 꿈을 모아서,30,https://youtu.be/Kd3j29vXr9s,상큼발랄,밝은
김건모 - 잘못된 만남,30,https://youtu.be/bt5Ns50dfMM,댄스곡,빠른비트
김건모 - 잠 못 드는 밤 비는 내리고,30,https://youtu.be/-9CIPoQCy34,밝은,멜로디
렉시 - 애송이,30,https://youtu.be/dZ1Rgw3-N90,신나는,비트
김현정 - 멍,30,https://youtu.be/zbMlQCsDFCw,흥겨운,댄스곡
렉시 - Let Me Dance,30,https://youtu.be/V2FI2OE_cz8,랩,댄스곡
박지윤 - 난 사랑에 빠졌죠,30,https://youtu.be/GRjzmxYuSo4,상큼발랄,멜로디
박지윤 - 소중한 사랑,30,https://youtu.be/lei37YN54nI,발랄한,멜로디
백지영 - Dash,30,https://youtu.be/X6cYhLZuLhI,신나는,댄스곡
보아 - No.1,30,https://youtu.be/X6cYhLZuLhI,아이돌,댄스곡
스페이스A - 섹시한 남자,30,https://youtu.be/kIDBmmeWZcw,신나는,흥폭팔
엄정화 - Poison,30,https://youtu.be/hmTJSBW0d8Y,신나는,댄스곡
엄정화 - 페스티벌,30,https://youtu.be/K8sXHXusDf0,댄스댄스,흥폭팔
이효리 - 10minute,30,https://youtu.be/iKdr44yEBQU,비트,댄스곡
채연 - 둘이서 ,30,https://youtu.be/BY3hWmQGsFY,댄스댄스,난나나나
DJ DOC - Run To You,30,https://youtu.be/IzIG2RY-MJc,댄스댄스,들썩들썩
쿨 -운명,30,https://youtu.be/tEpLqkMRY6k,들썩들썩,흥폭팔
DJ DOC - DOC와 춤을,30,https://youtu.be/Z4R8BAF0vwo,들썩들썩,댄스곡
H.O.T - 행복,30,https://youtu.be/fNr1x5gzBsI,댄스곡,멜로디
클론 - 초련,30,https://youtu.be/kv7bgNNX0K0,신나는,내적댄스
서태지와 아이들 - 컴백홈,30,https://youtu.be/O7A-WIBoHjA,힙합,비트
거북이 - 빙고,30,https://youtu.be/mIrEcebqm20,신나는,댄스곡
엄정화 - D.I.S.C.O,30,https://youtu.be/C0USKQRvuIc,댄스댄스,비트
아이비 - 유혹의 소나타,30,https://youtu.be/Q_plceCKQX8,신나는,댄스곡
철이와 미애 - 너는 왜,30,https://youtu.be/62I7bOBfvw8,댄스댄스,댄스곡
