music,age,link,subclass_s,tag_1,tag_2
권진아 - 끝,20,https://youtu.be/En3KrO3_OEM,1,위로,잔잔한
"폴킴 - 모든 날, 모든 순간",20,https://youtu.be/1q_t6RNuH8c,1,잔잔한,쓸슬한
멜로망스 - You,20,https://youtu.be/uid4xGVmJt8,1,잔잔한,쓸쓸한
"권진아 ,샘김 - 여기까지",20,https://youtu.be/70HLl3Ji9V8,1,감성적인,잔잔한
박원 - 나를 좋아하지 않는 그대에게,20,https://youtu.be/JxU7J4atKP4,1,잔잔한,발라드
폴킴 - 비,20,https://youtu.be/Q0sGc0WUago,1,잔잔한,쓸쓸한
펀치 - 밤이 되니까,20,https://youtu.be/S95bFLNV8hA,1,잔잔한,그루브한
이적 - 걱정말아요 그대 ,20,https://youtu.be/Dic27EnDDls,1,발라드,위로
볼빨간 사춘기 - 남이 될 수 있을까,20,https://youtu.be/Z1pGxkXyDvc,1,잔잔한,쓸쓸한
아이오아이 - 소나기,20,https://youtu.be/kbdW2LaKlnw,1,위로,청량한
폴킴 - 너를 만나,20,https://youtu.be/YBzJ0jmHv-4,1,잔잔한,발라드
폴킴 - 사랑 알 수 없나봐 ,20,https://youtu.be/Tfyt8gDD12Q,1,감성 ,발라드
폴킴 - Wanna Love You,20,https://youtu.be/oxGcr-KrlUA,1,감성,잔잔한
OFFONOFF - 춤,20,https://youtu.be/zt0Me5qyK4g,1,그루브,감성
Crush - 잊어버리지마 (Feat. 태연),20,https://youtu.be/r1iFxWW_WjY,1,잔잔한,소울풀
헤이즈 - 돌아오지마 (Feat. 용준형),20,https://youtu.be/eEx9Y8PE-Fc,1,쓸쓸한,소울풀
Sik-K - RING RING (Feat. 개코),20,https://youtu.be/lPJRbApcubA,1,그루브,감성적인
김민석 - 봄이 오는 날에 ,20,https://youtu.be/rlpWw9tcXs4,1,잔잔한,감성
아이유 - 밤편지,20,https://youtu.be/BzYnNdJhZQw,1,감성,잔잔한
아이유 - 사랑이 잘(with 오혁),20,https://youtu.be/8H1D7XUPNFI,1,잔잔한,감성
